operation_name,machine_name,machine_version
D17,Wafer Edge Grinding machine,W-GM-5200
F6,Wafer Edge Grinding machine,W-GM-6200
D10,Wafer Edge Grinding machine,W-GM-6200
D15,Wafer Edge Grinding machine,W-GM-6200
G5,Wafer Edge Grinding machine,W-GM-6200
E3,Wafer Edge Grinding machine,W-GM-6200
B6,Sliced Wafer Demounting and Cleaning Machine,C-RW Series
F17,Sliced Wafer Demounting and Cleaning Machine,C-RW Series
B1,Sliced Wafer Demounting and Cleaning Machine,C-RW Series
D3,Sliced Wafer Demounting and Cleaning Machine,C-RW Series
F13,Sliced Wafer Demounting and Cleaning Machine,C-RW Series
B13,Sliced Wafer Demounting and Cleaning Machine,C-RW Series
B7,Sliced Wafer Demounting and Cleaning Machine,C-RW Series
